participant,condition,file,taskId,T_task_sec,N_cmds,N_actuations,n_devices_final,n_colors_required
12,Pointing,3_B.json,4f145d76-f69f-4547-90a7-56281733ca5b,42.00311,2,3,2,2
12,Pointing,3_B.json,386be10f-0686-4118-928d-b57f06593b2f,54.5424423,3,6,3,2
12,Pointing,3_B.json,25c3ccdb-26c7-4109-bcfe-730434f9caa9,22.677042,1,2,2,1
12,Pointing,3_B.json,9e93766e-b621-4d6e-9927-173ac982bf3a,34.792347,2,3,2,2
12,SR,1_D.json,2d0b42ad-6703-463c-81b3-4ee4d0c8b347,32.7313232,1,1,1,1
12,SR,1_D.json,bee10050-f98c-456a-a684-4435ee88ef00,149.36937,2,5,3,3
12,SR,1_D.json,c78550a2-290e-4b94-98db-961c2110c668,80.22805,2,6,4,2
12,SR,1_D.json,40573e58-0087-4bb3-9ed7-d18a24a35b78,235.275,2,12,10,3
12,SR,1_D.json,b1e13b56-4030-40b3-a8c7-fbc4554e6c18,207.92926,4,14,3,2
12,SR,1_D.json,7aeefa77-f398-4a26-b615-e50c4d05ba64,174.739655,5,6,2,2
12,SR,1_D.json,09ff7f59-f6d6-4c54-9955-f1b4bfd11225,134.838547,1,1,1,1
12,SR,1_D.json,2e919b0d-6d84-4641-a535-930a7ca6c8b7,133.856979,3,6,3,3
12,SR,1_D.json,79dc7e7b-d1c7-4237-908d-f541b20406d4,81.71896,2,2,1,1
12,SR,1_D.json,ae59cd40-20ff-4809-8cbb-87c7cc41665c,95.3121643,2,6,4,2
12,SR,1_D.json,5dde3eac-8ee6-4821-99d4-f6e4ae5f7bd2,98.30206,3,8,3,2
12,P+SR,2_C.json,ff4748e2-cd97-45bb-bf2c-e5c9c33f78ac,34.049675,1,3,3,1
12,P+SR,2_C.json,3bc363f5-3c91-4c51-8139-93034b21f3a9,52.9558258,1,1,1,1
12,P+SR,2_C.json,7612d934-759d-4a55-9a58-ef65940b7162,41.7490044,1,3,3,3
12,P+SR,2_C.json,e81806f6-a4f2-4336-b77b-3407e101bc18,26.58157,1,3,3,2
12,P+SR,2_C.json,fd995852-c28d-49e9-97b5-9774af3241c3,53.9204636,3,12,6,3
12,P+SR,2_C.json,b0e9f035-c92f-4dc6-bd0a-a10b2941f902,46.36486,1,1,1,1
12,P+SR,2_C.json,04f5e376-2845-485a-8cb1-c38e3858ff8a,52.94804,1,4,4,2
12,P+SR,2_C.json,e0153245-d5d9-449a-87f1-2a35d3239eef,32.9773636,1,6,6,2
12,P+SR,2_C.json,1ff814e6-7f85-4e81-ad9f-9aababb20e6d,79.59707,2,8,4,2
12,P+SR,2_C.json,3d9e0045-08fb-4a50-b4e5-e4b24c3554c9,21.849966,1,2,2,1
