participant,condition,taskId,T_task_sec,logT_task,N_cmds,N_actuations,n_devices_final,n_colors_required,avg_cmd_time
11,Pointing,3bc363f5-3c91-4c51-8139-93034b21f3a9,20.7450943,3.0323097994481563,1,1,1,1,20.7450943
11,Pointing,1ff814e6-7f85-4e81-ad9f-9aababb20e6d,50.8949432,3.929763570880495,2,6,4,2,25.4474716
11,Pointing,4e23551b-4fd6-49d6-bc2b-c11836bf2a24,35.1736679,3.5602977316365756,2,3,2,2,17.58683395
11,Pointing,7612d934-759d-4a55-9a58-ef65940b7162,52.7510872,3.965584382570324,3,6,3,3,17.583695733333332
11,Pointing,3d9e0045-08fb-4a50-b4e5-e4b24c3554c9,37.71689,3.630108004737255,1,2,2,1,37.71689
11,Pointing,b0e9f035-c92f-4dc6-bd0a-a10b2941f902,20.490572,3.0199648779177757,1,1,1,1,20.490572
11,Pointing,e0153245-d5d9-449a-87f1-2a35d3239eef,43.6954041,3.7772429272344774,2,9,6,2,21.84770205
11,Pointing,04f5e376-2845-485a-8cb1-c38e3858ff8a,34.4756241,3.5402525264886777,2,6,4,2,17.23781205
11,Pointing,e81806f6-a4f2-4336-b77b-3407e101bc18,31.2091484,3.4407112697841735,2,5,3,2,15.6045742
11,SR,1a84f2f7-1739-41af-94ae-9a3c6677e61d,64.08883,4.160270089771407,3,7,3,2,21.362943333333334
11,SR,386be10f-0686-4118-928d-b57f06593b2f,78.62865,4.364736136836577,4,13,4,2,19.6571625
11,SR,b3a3afee-32b8-4986-b9e8-16227e2c7bd9,44.73259,3.8007023187418403,1,1,1,1,44.73259
11,SR,25c3ccdb-26c7-4109-bcfe-730434f9caa9,39.47451,3.6756551471450956,1,2,2,1,39.47451
11,SR,4fd86244-384f-4a69-adc8-6fd13c16422c,97.34027,4.578212778184079,5,12,4,3,19.468054000000002
11,SR,19e8d0a8-02bf-4644-9732-e4190e13825e,242.860245,5.492486154436825,3,7,4,2,80.95341499999999
11,SR,cd873fbb-fcc1-43bd-8f04-bb3b2d716af4,151.129364,5.018136185275682,3,14,7,2,50.37645466666667
11,SR,95479aa7-9c98-49e4-817e-727302518dae,77.71267,4.353018307143329,4,17,6,1,19.4281675
11,SR,2a7b8c63-3775-4bbf-8841-7976b4ccf32f,55.7783623,4.021386021782672,3,9,4,2,18.59278743333333
11,SR,4f145d76-f69f-4547-90a7-56281733ca5b,41.7536125,3.731785974499732,2,5,3,2,20.87680625
11,SR,fcee09b7-efa4-4e87-956e-553ee7bb3648,24.39209,3.1942588994134855,1,2,2,1,24.39209
