participant,condition,T_task_sec,N_cmds,n_devices_required,n_colors_required
20,Pointing,70.4077,3,3,
20,Pointing,268.319763,6,0,
20,SR,50.0233345,1,3,
20,SR,47.0384674,1,3,
20,SR,67.09087,1,1,
20,SR,46.6071053,1,2,
20,SR,163.245255,2,3,
20,SR,91.06528,2,6,
20,SR,113.570694,3,10,
20,SR,90.2806854,3,6,
20,SR,166.407211,6,9,
20,SR,63.88308,3,2,
20,SR,100.788284,2,2,
20,SR,310.178131,2,2,
21,Label,268.212,4,8,
21,Label,92.73942,2,3,
21,Label,147.2492,1,2,
21,Label,175.799576,2,4,
21,Label,183.895676,3,4,
21,Label,81.67196,1,3,
21,Label,31.814518,1,3,
21,Label,51.3158722,1,2,
21,Label,17.2630138,1,1,
21,Label,39.5605965,1,4,
21,Label,43.1009064,1,4,
21,Label,64.30604,1,1,
21,P+SR,93.27781,1,2,
21,P+SR,38.92482,1,3,
21,P+SR,79.33961,1,2,
21,P+SR,57.9230843,1,1,
21,P+SR,34.7063637,1,2,
21,P+SR,80.2974854,2,3,
21,P+SR,80.31835,1,6,
21,P+SR,110.400841,3,4,
21,P+SR,131.89006,2,3,
21,P+SR,132.302582,3,3,
21,P+SR,36.7696,1,2,
21,P+SR,89.84486,1,4,
21,SR,71.54541,1,4,
21,SR,85.7458344,1,2,
21,SR,146.487137,1,6,
21,SR,89.9878845,2,5,
21,SR,252.069839,1,6,
21,SR,171.0098,2,3,
21,SR,102.290108,2,3,
21,SR,55.6214752,1,4,
21,SR,57.2874451,2,1,
21,SR,248.149734,1,4,
21,SR,55.61971,1,3,
21,SR,123.312553,2,3,
21,Pointing,19.5510788,1,1,
21,Pointing,36.4361877,2,3,
21,Pointing,180.098862,5,13,
21,Pointing,130.454849,4,0,
21,Pointing,22.0899582,1,1,
21,Pointing,132.8719,7,4,
21,Pointing,34.07313,1,2,
21,Pointing,98.39516,3,3,
21,Pointing,27.9839573,2,8,
21,Pointing,56.3975639,4,3,
21,Pointing,22.11293,1,2,
21,Pointing,38.1619339,3,2,
22,Label,109.448013,1,9,
22,Label,38.84255,1,1,
22,Label,33.9384766,1,3,
22,Label,23.25545,1,3,
22,Label,21.7774677,1,1,
22,Label,42.93846,1,4,
22,Label,36.3400574,1,2,
22,Label,60.8654251,1,4,
22,Label,30.1726265,1,4,
22,Label,73.84801,2,3,
22,Label,56.51932,1,2,
22,Label,72.39015,2,4,
22,Pointing,46.68717,1,2,
22,Pointing,85.23887,2,3,
22,Pointing,57.8530045,1,3,
22,Pointing,125.603912,3,6,
22,Pointing,77.9284439,2,4,
22,Pointing,94.2463455,4,3,
22,Pointing,61.33753,3,4,
22,Pointing,35.6934242,2,2,
22,Pointing,39.894043,1,2,
22,Pointing,67.59401,2,3,
22,Pointing,32.1061859,2,2,
22,Pointing,39.6709747,1,1,
22,P+SR,69.80033,1,4,
22,P+SR,32.7713737,1,4,
22,P+SR,46.0314445,1,3,
22,P+SR,28.8266983,1,1,
22,P+SR,22.6252365,1,1,
22,P+SR,41.8880272,1,6,
22,P+SR,44.8067551,1,3,
22,P+SR,44.0729179,1,4,
22,P+SR,24.3651676,1,3,
22,P+SR,24.2599735,1,2,
22,P+SR,24.6239243,1,2,
22,P+SR,308.089722,4,6,
22,SR,122.265129,4,6,
22,SR,60.5050278,1,4,
22,SR,169.51442,2,2,
22,SR,47.7984543,1,1,
